episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
249,450.0,454,155169,0.1,0.13658029198842614,599.4580372920027,True,False
250,1320.0,779,155948,0.1,0.15688255425447073,602.2285888339975,True,False
251,610.0,516,156464,0.1,0.10522931700124759,604.8705561669776,True,False
252,840.0,994,157458,0.1,0.14325514753469296,608.3822237089626,True,False
253,370.0,355,157813,0.1,0.14526916847804958,609.6567173340009,True,False
254,380.0,404,158217,0.1,0.12366594197136341,611.12866316695,True,False
255,530.0,594,158811,0.1,0.14432314982184688,613.2305918339989,True,False
256,350.0,395,159206,0.1,0.11710258498035296,614.6568494589883,True,False
257,940.0,675,159881,0.1,0.15062752147838915,617.0488548339927,True,False
258,280.0,333,160214,0.1,0.17530743845076446,618.2441027919995,True,False
259,390.0,492,160706,0.1,0.1516291422663423,620.0366279589944,True,False
260,470.0,553,161259,0.1,0.15949217451439388,622.0613685419667,True,False
261,2160.0,962,162221,0.1,0.1452778957444108,625.5010151669849,True,False
262,600.0,575,162796,0.1,0.1831353080019148,627.5741807919694,True,False
263,550.0,466,163262,0.1,0.1597800963750944,629.2291215839796,True,False
264,360.0,392,163654,0.1,0.14692117047629186,630.6246394589543,True,False
265,620.0,517,164171,0.1,0.17081194448956225,632.490134208987,True,False
266,1400.0,802,164973,0.1,0.17565293995598655,635.3478777499986,True,False
267,1250.0,638,165611,0.1,0.1510048252266814,637.6194794589537,True,False
268,1100.0,732,166343,0.1,0.14443054234435976,640.2796132919611,True,False
269,610.0,639,166982,0.1,0.15374401377048344,642.5684225419536,True,False
270,340.0,412,167394,0.1,0.14078562833296443,644.0644577089697,True,False
271,790.0,587,167981,0.1,0.14900300015701728,646.156789333967,True,False
272,610.0,658,168639,0.1,0.1449716387589167,648.5050582090043,True,False
273,1270.0,673,169312,0.1,0.14842712375495207,650.9233219169546,True,False
274,260.0,374,169686,0.1,0.15219365290656525,652.2561816249508,True,False
275,430.0,479,170165,0.1,0.1259985265787691,653.9965172499651,True,False
276,250.0,432,170597,0.1,0.12380009844761204,656.346248249989,True,False
277,520.0,486,171083,0.1,0.16252976582070028,658.2802060839604,True,False
278,640.0,736,171819,0.1,0.15854665655237826,660.9062204589718,True,False
279,990.0,723,172542,0.1,0.1230515785391818,663.7427820419543,True,False
280,1100.0,491,173033,0.1,0.11936834218298517,665.5405875419965,True,False
281,1000.0,696,173729,0.1,0.1593658634857542,668.1862403749838,True,False
282,830.0,603,174332,0.1,0.14307688073014582,670.35278758395,True,False
283,1040.0,750,175082,0.1,0.16045659505587848,673.0035427089897,True,False
284,330.0,531,175613,0.1,0.14387650712204159,674.9146604999551,True,False
285,940.0,797,176410,0.1,0.13962585719573736,677.7720189169631,True,False
286,770.0,628,177038,0.1,0.11661244441227168,680.0210984169971,True,False
287,920.0,692,177730,0.1,0.1361830022099907,682.5220324169495,True,False
288,310.0,536,178266,0.1,0.13133028613876052,684.4420177499996,True,False
289,220.0,324,178590,0.1,0.13616044869945373,685.6323891249485,True,False
290,960.0,643,179233,0.1,0.12117030395206457,687.9457731669536,True,False
291,1330.0,677,179910,0.1,0.13631002792328067,690.3999713339726,True,False
292,550.0,565,180475,0.1,0.17050814987919855,692.4294717919547,True,False
293,1020.0,661,181136,0.1,0.15062343751091556,694.7817794589791,True,False
294,430.0,413,181549,0.1,0.16704112343779468,696.2751098339795,True,False
295,660.0,618,182167,0.1,0.15123639437188577,698.4984854589566,True,False
296,1410.0,862,183029,0.1,0.14397731233664132,701.5630102499854,True,False
297,1080.0,799,183828,0.1,0.15293532835319637,704.4155045420048,True,False
298,910.0,700,184528,0.1,0.11960562730474131,706.9262362089939,True,False
299,350.0,463,184991,0.1,0.13032434945521149,708.5901239999803,True,False
300,680.0,777,185768,0.1,0.12282738366570228,711.380904666963,True,False
301,640.0,501,186269,0.1,0.11940909335017204,714.2309319169726,True,False
302,990.0,766,187035,0.1,0.13112788416289223,716.9674571249634,True,False
303,410.0,456,187491,0.1,0.11344844807070076,718.5993904999923,True,False
304,680.0,696,188187,0.1,0.14504551567436977,721.0707727089757,True,False
305,590.0,574,188761,0.1,0.11550965814644264,723.1449892089586,True,False
306,710.0,731,189492,0.1,0.15773306109133314,725.7495720419683,True,False
307,780.0,742,190234,0.1,0.11352350680610618,728.3825556669617,True,False
308,750.0,786,191020,0.1,0.12956143996021166,731.1839434169815,True,False
309,1670.0,1035,192055,0.1,0.10764805256396301,734.8765950839734,True,False
310,500.0,564,192619,0.1,0.13210864783865764,736.8813382919761,True,False
311,470.0,433,193052,0.1,0.12729374102291163,738.4364678339916,True,False
312,370.0,423,193475,0.1,0.13907525507467133,739.9506784999976,True,False
313,380.0,375,193850,0.1,0.11030690156002627,741.3098248339957,True,False
314,490.0,520,194370,0.1,0.15622432183187743,743.6506733339629,True,False
315,1050.0,670,195040,0.1,0.12821695523425228,747.2691292919917,True,False
316,440.0,412,195452,0.1,0.1531964661282243,751.458848124952,True,False
317,470.0,440,195892,0.1,0.13734183790670199,753.1060521669569,True,False
318,500.0,778,196670,0.1,0.15538673188306928,755.8439114999492,True,False
319,350.0,357,197027,0.1,0.14852163681153502,757.1365504999994,True,False
320,300.0,450,197477,0.1,0.1754976449847485,758.7854737499729,True,False
321,420.0,421,197898,0.1,0.1892575786759456,760.3570463339565,True,False
322,440.0,483,198381,0.1,0.18450521924032653,762.1014643749804,True,False
323,910.0,717,199098,0.1,0.16602278893095487,764.6839015839505,True,False
324,980.0,699,199797,0.1,0.167671643484916,767.1847872089711,True,False
325,450.0,482,200279,0.1,0.171149601166447,768.912983333983,True,False
326,550.0,563,200842,0.1,0.1534508644398434,771.875032958982,True,False
327,460.0,453,201295,0.1,0.16845112524728859,773.5148908339906,True,False
328,430.0,439,201734,0.1,0.13567480231550608,775.093373916985,True,False
329,510.0,547,202281,0.1,0.1332375494504932,777.0684724999592,True,False
330,1250.0,892,203173,0.1,0.13104536069448486,780.249170458992,True,False
331,950.0,594,203767,0.1,0.15771976833206577,782.3649026249768,True,False
